domain,rmm_tool,pattern,regex
assist.jumpcloud.com,Jump Cloud,*.assist.jumpcloud.com,^(?:.*\.assist\.jumpcloud\.com)$
assist.zoho.com,Zoho Assist,assist.zoho.com,^(?:assist\.zoho\.com)$
atera-agent-heartbeat.servicebus.windows.net,Atera,atera-agent-heartbeat.servicebus.windows.net,^(?:atera-agent-heartbeat\.servicebus\.windows\.net)$
atera.pubnubapi.com,Atera,atera.pubnubapi.com,^(?:atera\.pubnubapi\.com)$
atled.syspectr.com,Laplink Everywhere,atled.syspectr.com,^(?:atled\.syspectr\.com)$
attachments.servably.com,Syncro,attachments.servably.com,^(?:attachments\.servably\.com)$
auth.api.remote.it,Remote.it,auth.api.remote.it,^(?:auth\.api\.remote\.it)$
auvik.com,Auvik,*.auvik.com,^(?:.*\.auvik\.com)$
auvik.com,Auvik,auvik.com,^(?:auvik\.com)$
aweray.net,AweRay,asapi*.aweray.net,^(?:asapi.*\.aweray\.net)$
baramundi.com,baramundi Management Suite,*.baramundi.com,^(?:.*\.baramundi\.com)$
barracudamsp.com,Barracuda,barracudamsp.com,^(?:barracudamsp\.com)$
basecamp.com,Basecamp,basecamp.com,^(?:basecamp\.com)$
beamyourscreen.com,BeamYourScreen,*.beamyourscreen.com,^(?:.*\.beamyourscreen\.com)$
beamyourscreen.com,BeamYourScreen,beamyourscreen.com,^(?:beamyourscreen\.com)$
beanywhere.com,BeAnyWhere,beanywhere.com,^(?:beanywhere\.com)$
beanywhere.com,N-Able Advanced Monitoring Agent,*.beanywhere.com,^(?:.*\.beanywhere\.com)$
beanywhere.com,N-Able Advanced Monitoring Agent,beanywhere.com,^(?:beanywhere\.com)$
beinsync.com,BeInSync,*.beinsync.com,^(?:.*\.beinsync\.com)$
beinsync.net,BeInSync,*.beinsync.net,^(?:.*\.beinsync\.net)$
beyondtrustcloud.com,BeyondTrust (Bomgar),*.beyondtrustcloud.com,^(?:.*\.beyondtrustcloud\.com)$
bluetrait.io,Bluetrait,*.bluetrait.io,^(?:.*\.bluetrait\.io)$
bluetrait.io,Bluetrait,bluetrait.io,^(?:bluetrait\.io)$
bomgarcloud.com,BeyondTrust (Bomgar),*.bomgarcloud.com,^(?:.*\.bomgarcloud\.com)$
bomgarcloud.com,BeyondTrust (Bomgar),bomgarcloud.com,^(?:bomgarcloud\.com)$
boot.net.anydesk.com,AnyDesk,boot.net.anydesk.com,^(?:boot\.net\.anydesk\.com)$
builds.level.io,Level,builds.level.io,^(?:builds\.level\.io)$
c.mid.al,Nezha,c.mid.al,^(?:c\.mid\.al)$
cc.centrastage.net,CentraStage (Now Datto),*.cc.centrastage.net,^(?:.*\.cc\.centrastage\.net)$
cc.centrastage.net,CentraStage (Now Datto),cc.centrastage.net,^(?:cc\.centrastage\.net)$
cdn.getgo.com,GoToAssist,*.cdn.getgo.com,^(?:.*\.cdn\.getgo\.com)$
cell-1.domotz.com,Domotz,*.cell-1.domotz.com,^(?:.*\.cell-1\.domotz\.com)$
cell-1.domotz.com,Domotz,cell-1.domotz.com,^(?:cell-1\.domotz\.com)$
centuriontech.com,Centurion,centuriontech.com,^(?:centuriontech\.com)$
cfcdn.pdq.com,PDQ Connect,cfcdn.pdq.com,^(?:cfcdn\.pdq\.com)$
changes.panorama9.com,Panorama9,changes.panorama9.com,^(?:changes\.panorama9\.com)$
charon.netreo.net,Netreo,charon.netreo.net,^(?:charon\.netreo\.net)$
checkip.zmazonaws.com,FleetDeck.io,checkip.zmazonaws.com,^(?:checkip\.zmazonaws\.com)$
chromoting-client.talkgadget.google.com,Chrome Remote Desktop,chromoting-client.talkgadget.google.com,^(?:chromoting-client\.talkgadget\.google\.com)$
chromoting-host.talkgadget.google.com,Chrome Remote Desktop,chromoting-host.talkgadget.google.com,^(?:chromoting-host\.talkgadget\.google\.com)$
chromoting-oauth.talkgadget.google.com,Chrome Remote Desktop,chromoting-oauth.talkgadget.google.com,^(?:chromoting-oauth\.talkgadget\.google\.com)$
client-api.aweray.com,AweRay,client-api.aweray.com,^(?:client-api\.aweray\.com)$
client.oray.net,SunLogin,client.oray.net,^(?:client\.oray\.net)$
client.teamviewer.com,TeamViewer,client.teamviewer.com,^(?:client\.teamviewer\.com)$
cloud-233f9.firebaseapp.com,NetBird,cloud-233f9.firebaseapp.com,^(?:cloud-233f9\.firebaseapp\.com)$
cloud-ed980.firebaseapp.com,NetBird,cloud-ed980.firebaseapp.com,^(?:cloud-ed980\.firebaseapp\.com)$
cloud.acronis.com,Acronis Cyber Protect (Remotix),cloud.acronis.com,^(?:cloud\.acronis\.com)$
cloud.faronics.com,Faronics Deep Freeze,cloud.faronics.com,^(?:cloud\.faronics\.com)$
cloud.shellhub.io,ShellHub,cloud.shellhub.io,^(?:cloud\.shellhub\.io)$
cloud.tanium.com,Tanium,*.cloud.tanium.com,^(?:.*\.cloud\.tanium\.com)$
cloud.tanium.com,Tanium,cloud.tanium.com,^(?:cloud\.tanium\.com)$
cloudbackup.management,N-Able Advanced Monitoring Agent,*.cloudbackup.management,^(?:.*\.cloudbackup\.management)$
cloudbackup.management,N-Able Advanced Monitoring Agent,cloudbackup.management,^(?:cloudbackup\.management)$
cloudberrylab.com,MSP360,*.cloudberrylab.com,^(?:.*\.cloudberrylab\.com)$
cloudflarestorage.com,PDQ Connect,pdqinstallers.*.r2.cloudflarestorage.com,^(?:pdqinstallers\..*\.r2\.cloudflarestorage\.com)$
cmdm.comodo.com,Itarian,*.cmdm.comodo.com,^(?:.*\.cmdm\.comodo\.com)$
connect.acronis.com,Acronis Cyber Protect (Remotix),connect.acronis.com,^(?:connect\.acronis\.com)$
connect.ap.ngrok-agent.com,ngrok,connect.ap.ngrok-agent.com,^(?:connect\.ap\.ngrok-agent\.com)$
connect.au.ngrok-agent.com,ngrok,connect.au.ngrok-agent.com,^(?:connect\.au\.ngrok-agent\.com)$
connect.backdrop.cloud,Netop Remote Control (Impero Connect),*.connect.backdrop.cloud,^(?:.*\.connect\.backdrop\.cloud)$
connect.eu.ngrok-agent.com,ngrok,connect.eu.ngrok-agent.com,^(?:connect\.eu\.ngrok-agent\.com)$
