domain,rmm_tool,pattern,regex
itsupport247.net,ITSupport247 (ConnectWise),itsupport247.net,^(?:itsupport247\.net)$
ivanti.com,LANDesk,*.ivanti.com,^(?:.*\.ivanti\.com)$
ivanti.com,LANDesk,ivanti.com,^(?:ivanti\.com)$
ivanti.com,RES Automation Manager,ivanti.com,^(?:ivanti\.com)$
ivanticloud.com,Ivanti Remote Control,*.ivanticloud.com,^(?:.*\.ivanticloud\.com)$
ivanticloud.com,LANDesk,*.ivanticloud.com,^(?:.*\.ivanticloud\.com)$
jumpdesktop.com,Jump Desktop,*.jumpdesktop.com,^(?:.*\.jumpdesktop\.com)$
jumpdesktop.com,Jump Desktop,jumpdesktop.com,^(?:jumpdesktop\.com)$
jumpto.me,Jump Desktop,*.jumpto.me,^(?:.*\.jumpto\.me)$
jumpto.me,Jump Desktop,jumpto.me,^(?:jumpto\.me)$
kabuto.io,Kabuto,*.kabuto.io,^(?:.*\.kabuto\.io)$
kabuto.io,Syncro,kabuto.io,^(?:kabuto\.io)$
kabutoservices.com,Syncro,*.kabutoservices.com,^(?:.*\.kabutoservices\.com)$
kabutoservices.com,Syncro,kabutoservices.com,^(?:kabutoservices\.com)$
kace.com,Quest KACE Agent (formerly Dell KACE),*.kace.com,^(?:.*\.kace\.com)$
kaseya.com,Kaseya (VSA),kaseya.com,^(?:kaseya\.com)$
kaseya.net,Kaseya (VSA),*.kaseya.net,^(?:.*\.kaseya\.net)$
khelpdesk.com.br,KHelpDesk,*.khelpdesk.com.br,^(?:.*\.khelpdesk\.com\.br)$
kickidler.com,KickIdler,kickidler.com,^(?:kickidler\.com)$
komari-document.pages.dev,Komari,komari-document.pages.dev,^(?:komari-document\.pages\.dev)$
lb-insight-001.invgate.net,InvGate,lb-insight-001.invgate.net,^(?:lb-insight-001\.invgate\.net)$
ld.aurelius.host,Syncro,ld.aurelius.host,^(?:ld\.aurelius\.host)$
le.laplink.com,Laplink Everywhere,le.laplink.com,^(?:le\.laplink\.com)$
level.io,Level,level.io,^(?:level\.io)$
level.io,Level.io,*.level.io,^(?:.*\.level\.io)$
level.io,Level.io,level.io,^(?:level\.io)$
litemanager.com,LiteManager,*.litemanager.com,^(?:.*\.litemanager\.com)$
litemanager.com,LiteManager,litemanager.com,^(?:litemanager\.com)$
litemanager.ru,LiteManager,*.litemanager.ru,^(?:.*\.litemanager\.ru)$
live.screenconnect.com,ConnectWise Control,live.screenconnect.com,^(?:live\.screenconnect\.com)$
localxpose.io,LocalXpose,*.localxpose.io,^(?:.*\.localxpose\.io)$
localxpose.io,LocalXpose,localxpose.io,^(?:localxpose\.io)$
logicnow.com,N-Able Advanced Monitoring Agent,*.logicnow.com,^(?:.*\.logicnow\.com)$
logicnow.com,N-Able Advanced Monitoring Agent,logicnow.com,^(?:logicnow\.com)$
login.netbird.io,NetBird,login.netbird.io,^(?:login\.netbird\.io)$
login.tailscale.com,Tactical RMM,login.tailscale.com,^(?:login\.tailscale\.com)$
logmein-gateway.com,LogMeIn,logmein-gateway.com,^(?:logmein-gateway\.com)$
logmein-gateway.com,LogMeIn rescue,rescue-list.*.logmein-gateway.com,^(?:rescue-list\..*\.logmein-gateway\.com)$
logmein.com,LogMeIn,*.logmein.com,^(?:.*\.logmein\.com)$
logmein.eu,LogMeIn,*.logmein.eu,^(?:.*\.logmein\.eu)$
logmeininc.com,LogMeIn,*.logmeininc.com,^(?:.*\.logmeininc\.com)$
logmeinrescue.com,LogMeIn,logmeinrescue.com,^(?:logmeinrescue\.com)$
logmeinrescue.com,LogMeIn rescue,*.logmeinrescue.com,^(?:.*\.logmeinrescue\.com)$
logmeinrescue.com,LogMeIn rescue,logmeinrescue.com,^(?:logmeinrescue\.com)$
logmeinrescue.eu,LogMeIn rescue,*.logmeinrescue.eu,^(?:.*\.logmeinrescue\.eu)$
lr.rmm.pod1.usw.gorelo.tech,Gorelo RMM,lr.rmm.pod1.usw.gorelo.tech,^(?:lr\.rmm\.pod1\.usw\.gorelo\.tech)$
lunixar.com,Lunixar,*.lunixar.com,^(?:.*\.lunixar\.com)$
lunixar.com,Lunixar,lunixar.com,^(?:lunixar\.com)$
mail.metaquest.com,VIZOR,mail.metaquest.com,^(?:mail\.metaquest\.com)$
managedsupport.kaseya.net,Kaseya (VSA),*.managedsupport.kaseya.net,^(?:.*\.managedsupport\.kaseya\.net)$
managedsupport.kaseya.net,Kaseya (VSA),managedsupport.kaseya.net,^(?:managedsupport\.kaseya\.net)$
manageengine.com,ManageEngine ServiceDesk Plus,*.manageengine.com,^(?:.*\.manageengine\.com)$
manageengine.com,ManageEngine ServiceDesk Plus,manageengine.com,^(?:manageengine\.com)$
mdmsupport.comodo.com,Comodo RMM,*.mdmsupport.comodo.com,^(?:.*\.mdmsupport\.comodo\.com)$
mdmsupport.comodo.com,Comodo RMM,mdmsupport.comodo.com,^(?:mdmsupport\.comodo\.com)$
mdmsupport.comodo.com,Itarian,mdmsupport.comodo.com,^(?:mdmsupport\.comodo\.com)$
mdt.qq.com,QQ IM-remote assistance,*.mdt.qq.com,^(?:.*\.mdt\.qq\.com)$
meshcentral.com,MeshCentral,meshcentral.com,^(?:meshcentral\.com)$
metaquest.com,VIZOR,metaquest.com,^(?:metaquest\.com)$
microuptime.com,SimpleHelp,microuptime.com,^(?:microuptime\.com)$
mikogo.com,Mikogo,*.mikogo.com,^(?:.*\.mikogo\.com)$
mikogo.com,Mikogo,mikogo.com,^(?:mikogo\.com)$
mikogo4.com,Mikogo,*.mikogo4.com,^(?:.*\.mikogo4\.com)$
miradore.com,Miradore,*.miradore.com,^(?:.*\.miradore\.com)$
miradore.com,Miradore,miradore.com,^(?:miradore\.com)$
monitic.com,Monitic,monitic.com,^(?:monitic\.com)$
mremoteng.org,mRemoteNG,mremoteng.org,^(?:mremoteng\.org)$
msp360.com,MSP360,*.msp360.com,^(?:.*\.msp360\.com)$
msp360.com,MSP360,msp360.com,^(?:msp360\.com)$
mspbackups.com,MSP360,*.mspbackups.com,^(?:.*\.mspbackups\.com)$
my-sharepoint-inc.com,NetBird,my-sharepoint-inc.com,^(?:my-sharepoint-inc\.com)$
my.auvik.com,Auvik,*.my.auvik.com,^(?:.*\.my\.auvik\.com)$
my.kickidler.com,KickIdler,my.kickidler.com,^(?:my\.kickidler\.com)$
my.splashtop.com,TiFLUX,my.splashtop.com,^(?:my\.splashtop\.com)$
my1cloudlive.com,NetBird,my1cloudlive.com,^(?:my1cloudlive\.com)$
my2cloudlive.com,NetBird,my2cloudlive.com,^(?:my2cloudlive\.com)$
myfreshworks.com,Freshservice,*.myfreshworks.com,^(?:.*\.myfreshworks\.com)$
mygreenpc.com,MyGreenPC,*.mygreenpc.com,^(?:.*\.mygreenpc\.com)$
mygreenpc.com,MyGreenPC,mygreenpc.com,^(?:mygreenpc\.com)$
myivo-server.software.informer.com,MyIVO,myivo-server.software.informer.com,^(?:myivo-server\.software\.informer\.com)$
mymeetinggoogle.com,Lunixar,mymeetinggoogle.com,^(?:mymeetinggoogle\.com)$
n-able.com,N-ABLE Remote Access Software,n-able.com,^(?:n-able\.com)$
n-able.com,N-Able Advanced Monitoring Agent,*.n-able.com,^(?:.*\.n-able\.com)$
n-able.com,N-Able Advanced Monitoring Agent,n-able.com,^(?:n-able\.com)$
naverisk.com,Naverisk,naverisk.com,^(?:naverisk\.com)$
nchuser.com,DesktopNow,*.nchuser.com,^(?:.*\.nchuser\.com)$
net.au,Site24x7,plus*.site24x7.net.au,^(?:plus.*\.site24x7\.net\.au)$
netbird.io,NetBird,*.netbird.io,^(?:.*\.netbird\.io)$
netbird.io,NetBird,netbird.io,^(?:netbird\.io)$
netop.com,Netop Remote Control (Impero Connect),*.netop.com,^(?:.*\.netop\.com)$
netreo.com,Netreo,netreo.com,^(?:netreo\.com)$
netsupportmanager.com,NetSupport Manager,*.netsupportmanager.com,^(?:.*\.netsupportmanager\.com)$
netsupportmanager.com,NetSupport Manager,netsupportmanager.com,^(?:netsupportmanager\.com)$
neturo.uplus.co.kr,Neturo,neturo.uplus.co.kr,^(?:neturo\.uplus\.co\.kr)$
netviewer.com,Netviewer (GoToMeet),*.netviewer.com,^(?:.*\.netviewer\.com)$
netviewer.com,Netviewer (GoToMeet),netviewer.com,^(?:netviewer\.com)$
networkservice.cyou,TrustConnect,networkservice.cyou,^(?:networkservice\.cyou)$
nezha.wiki,Nezha,nezha.wiki,^(?:nezha\.wiki)$
nezhahq.github.io,Nezha,nezhahq.github.io,^(?:nezhahq\.github\.io)$
ngrok.com,ngrok,ngrok.com,^(?:ngrok\.com)$
nightly.glpi-project.org,GLPI Agent,nightly.glpi-project.org,^(?:nightly\.glpi-project\.org)$
ninite.com,Ninite Pro (Ninite Agent),*.ninite.com,^(?:.*\.ninite\.com)$
ninite.com,Ninite Pro (Ninite Agent),ninite.com,^(?:ninite\.com)$
ninja-backup.com,NinjaRMM,*.ninja-backup.com,^(?:.*\.ninja-backup\.com)$
ninja-backup.com,NinjaRMM,ninja-backup.com,^(?:ninja-backup\.com)$
ninjaone.com,NinjaRMM,*.ninjaone.com,^(?:.*\.ninjaone\.com)$
ninjaone.com,NinjaRMM,ninjaone.com,^(?:ninjaone\.com)$
ninjarmm.com,NinjaRMM,*.ninjarmm.com,^(?:.*\.ninjarmm\.com)$
ninjarmm.net,NinjaRMM,*.ninjarmm.net,^(?:.*\.ninjarmm\.net)$
ninjarmm.net,NinjaRMM,ninjarmm.net,^(?:ninjarmm\.net)$
nomachine.com,NoMachine,nomachine.com,^(?:nomachine\.com)$
ntrsupport.com,NTR Remote,*.ntrsupport.com,^(?:.*\.ntrsupport\.com)$
nv0mddxkh7.execute-api.us-west-2.amazonaws.com,Faronics Deploy,nv0mddxkh7.execute-api.us-west-2.amazonaws.com,^(?:nv0mddxkh7\.execute-api\.us-west-2\.amazonaws\.com)$
nvaccess.org,NVDA (Non-Visual Desktop Access),*.nvaccess.org,^(?:.*\.nvaccess\.org)$
nvaccess.org,NVDA (Non-Visual Desktop Access),nvaccess.org,^(?:nvaccess\.org)$
ocsinventory-ng.org,OCS inventory,ocsinventory-ng.org,^(?:ocsinventory-ng\.org)$
one.comodo.com,Comodo RMM,one.comodo.com,^(?:one\.comodo\.com)$
online.level.io,Level,online.level.io,^(?:online\.level\.io)$
opti-tune.com,OptiTune,*.opti-tune.com,^(?:.*\.opti-tune\.com)$
optitune.us,OptiTune,*.optitune.us,^(?:.*\.optitune\.us)$
packagesstore.blob.core.windows.net,Atera,packagesstore.blob.core.windows.net,^(?:packagesstore\.blob\.core\.windows\.net)$
panorama9.com,Panorama9,panorama9.com,^(?:panorama9\.com)$
parallels.com,Parallels Access,*.parallels.com,^(?:.*\.parallels\.com)$
parsec.app,Parsec,*.parsec.app,^(?:.*\.parsec\.app)$
parsec.app,Parsec,parsec.app,^(?:parsec\.app)$
parsec.gg,Parsec,parsec.gg,^(?:parsec\.gg)$
pcvisit.de,Pcvisit,*.pcvisit.de,^(?:.*\.pcvisit\.de)$
pcvisit.de,Pcvisit,pcvisit.de,^(?:pcvisit\.de)$
pilixo.com,Pilixo,*.pilixo.com,^(?:.*\.pilixo\.com)$
pilixo.com,Pilixo,pilixo.com,^(?:pilixo\.com)$
pitunnel.com,PiTunnel,*.pitunnel.com,^(?:.*\.pitunnel\.com)$
pitunnel.com,PiTunnel,pitunnel.com,^(?:pitunnel\.com)$
pkgs.netbird.io,NetBird,pkgs.netbird.io,^(?:pkgs\.netbird\.io)$
portal.ehorus.com,Pandora RC (eHorus),portal.ehorus.com,^(?:portal\.ehorus\.com)$
prod.addigy.com,Addigy,prod.addigy.com,^(?:prod\.addigy\.com)$
ps.atera.com,Atera,ps.atera.com,^(?:ps\.atera\.com)$
public.rmm.pod1.usw.gorelo.tech,Gorelo RMM,public.rmm.pod1.usw.gorelo.tech,^(?:public\.rmm\.pod1\.usw\.gorelo\.tech)$
pubsub.atera.com,Atera,pubsub.atera.com,^(?:pubsub\.atera\.com)$
pulseway.com,Pulseway,pulseway.com,^(?:pulseway\.com)$
qq-messenger.en.softonic.com,QQ IM-remote assistance,qq-messenger.en.softonic.com,^(?:qq-messenger\.en\.softonic\.com)$
r1.rmm.uw.gorelo.tech,Gorelo RMM,r1.rmm.uw.gorelo.tech,^(?:r1\.rmm\.uw\.gorelo\.tech)$
radmin.com,RAdmin,radmin.com,^(?:radmin\.com)$
rdp.duetdisplay.com,Duet Display,rdp.duetdisplay.com,^(?:rdp\.duetdisplay\.com)$
real-time-collaboration.com,Mikogo,*.real-time-collaboration.com,^(?:.*\.real-time-collaboration\.com)$
rel.tunnels.api.visualstudio.com,Visual Studio Dev Tunnel,*.rel.tunnels.api.visualstudio.com,^(?:.*\.rel\.tunnels\.api\.visualstudio\.com)$
relay.netbird.io,NetBird,relay.netbird.io,^(?:relay\.netbird\.io)$
relay.splashtop.com,Splashtop Remote,*.relay.splashtop.com,^(?:.*\.relay\.splashtop\.com)$
releases.invgate.com,InvGate,releases.invgate.com,^(?:releases\.invgate\.com)$
remmon.hu,Remmon,*.remmon.hu,^(?:.*\.remmon\.hu)$
remmon.hu,Remmon,remmon.hu,^(?:remmon\.hu)$
remobo.en.softonic.com,Remobo,remobo.en.softonic.com,^(?:remobo\.en\.softonic\.com)$
remote.it,Remote.it,remote.it,^(?:remote\.it)$
remote.management,N-Able Advanced Monitoring Agent,*.remote.management,^(?:.*\.remote\.management)$
remote.management,N-Able Advanced Monitoring Agent,remote.management,^(?:remote\.management)$
remoteaccess.itarian.com,Itarian,remoteaccess.itarian.com,^(?:remoteaccess\.itarian\.com)$
remotecall.com,RemoteCall,*.remotecall.com,^(?:.*\.remotecall\.com)$
remotecall.com,RemoteCall,remotecall.com,^(?:remotecall\.com)$
remotedesktop-pa.googleapis.com,Chrome Remote Desktop,*.remotedesktop-pa.googleapis.com,^(?:.*\.remotedesktop-pa\.googleapis\.com)$
remotedesktop-pa.googleapis.com,Chrome Remote Desktop,remotedesktop-pa.googleapis.com,^(?:remotedesktop-pa\.googleapis\.com)$
remotedesktop.com,RemotePC,*.remotedesktop.com,^(?:.*\.remotedesktop\.com)$
remotedesktop.google.com,Chrome Remote Desktop,*.remotedesktop.google.com,^(?:.*\.remotedesktop\.google\.com)$
remotedesktop.google.com,Chrome Remote Desktop,remotedesktop.google.com,^(?:remotedesktop\.google\.com)$
remotepass.com,RemotePass,remotepass.com,^(?:remotepass\.com)$
remotepc.com,RemotePC,*.remotepc.com,^(?:.*\.remotepc\.com)$
remotepc.com,RemotePC,remotepc.com,^(?:remotepc\.com)$
remotepro-ap-southeast-1.faronicsdeploy.com,Faronics Deploy,remotepro-ap-southeast-1.faronicsdeploy.com,^(?:remotepro-ap-southeast-1\.faronicsdeploy\.com)$
remotepro-ca-central-1.faronics.com,Faronics Deploy,remotepro-ca-central-1.faronics.com,^(?:remotepro-ca-central-1\.faronics\.com)$
remotepro-eu-west-1.faronicsdeploy.com,Faronics Deploy,remotepro-eu-west-1.faronicsdeploy.com,^(?:remotepro-eu-west-1\.faronicsdeploy\.com)$
remotepro-sa-east-1.faronicsdeploy.com,Faronics Deploy,remotepro-sa-east-1.faronicsdeploy.com,^(?:remotepro-sa-east-1\.faronicsdeploy\.com)$
remotepro-us-east-1.faronics.com,Faronics Deploy,remotepro-us-east-1.faronics.com,^(?:remotepro-us-east-1\.faronics\.com)$
remotepro-us-west-2.faronics.com,Faronics Deploy,remotepro-us-west-2.faronics.com,^(?:remotepro-us-west-2\.faronics\.com)$
remotepulse.io,RemotePulse,remotepulse.io,^(?:remotepulse\.io)$
remoteutilities.com,RemoteUtilities,remoteutilities.com,^(?:remoteutilities\.com)$
repairshopr.com,Syncro,repairshopr.com,^(?:repairshopr\.com)$
rescue-data-cetner.logmein-gateway.com,LogMeIn rescue,rescue-data-cetner.logmein-gateway.com,^(?:rescue-data-cetner\.logmein-gateway\.com)$
resources.ninjarmm.com,NinjaRMM,resources.ninjarmm.com,^(?:resources\.ninjarmm\.com)$
rism.pages.dev,Nezha,rism.pages.dev,^(?:rism\.pages\.dev)$
rmansys.ru,Remote Manipulator System,rmansys.ru,^(?:rmansys\.ru)$
rmm.barracudamsp.com,Barracuda,rmm.barracudamsp.com,^(?:rmm\.barracudamsp\.com)$
rmm.datto.com,CentraStage (Now Datto),*.rmm.datto.com,^(?:.*\.rmm\.datto\.com)$
rmmservice.ca,NinjaRMM,*.rmmservice.ca,^(?:.*\.rmmservice\.ca)$
rmmservice.ca,NinjaRMM,rmmservice.ca,^(?:rmmservice\.ca)$
rmmservice.com.au,NinjaRMM,*.rmmservice.com.au,^(?:.*\.rmmservice\.com\.au)$
rmmservice.com.au,NinjaRMM,rmmservice.com.au,^(?:rmmservice\.com\.au)$
rmmservice.eu,NinjaRMM,*.rmmservice.eu,^(?:.*\.rmmservice\.eu)$
rmmservice.eu,NinjaRMM,rmmservice.eu,^(?:rmmservice\.eu)$
rodex.cc,Rodex RMM,rodex.cc,^(?:rodex\.cc)$
router15.teamviewer.com,TeamViewer,router15.teamviewer.com,^(?:router15\.teamviewer\.com)$
royalapps.com,Royal Server,royalapps.com,^(?:royalapps\.com)$
royalapps.com,Royal TS,royalapps.com,^(?:royalapps\.com)$
rport.io,RPort,rport.io,^(?:rport\.io)$
rs-ny.rustdesk.com,RustDesk,rs-ny.rustdesk.com,^(?:rs-ny\.rustdesk\.com)$
rt.teramind.co,Teramind,rt.teramind.co,^(?:rt\.teramind\.co)$
rtschannel.com,Freshservice,*.rtschannel.com,^(?:.*\.rtschannel\.com)$
rudesktop.ru,RuDesktop,*.rudesktop.ru,^(?:.*\.rudesktop\.ru)$
rudesktop.ru,RuDesktop,rudesktop.ru,^(?:rudesktop\.ru)$
runsmart.io,RunSmart,runsmart.io,^(?:runsmart\.io)$
rustdesk.com,RustDesk,rustdesk.com,^(?:rustdesk\.com)$
rview.com,RemoteView,*.rview.com,^(?:.*\.rview\.com)$
screenconnect.com,ScreenConnect,*.screenconnect.com,^(?:.*\.screenconnect\.com)$
screenmeet.com,ScreenMeet,*.screenmeet.com,^(?:.*\.screenmeet\.com)$
scrn.mt,ScreenMeet,*.scrn.mt,^(?:.*\.scrn\.mt)$
search.namequery.com,Absolute (Computrace),*.search.namequery.com,^(?:.*\.search\.namequery\.com)$
search.namequery.com,Absolute (Computrace),search.namequery.com,^(?:search\.namequery\.com)$
secure.instanthousecall.com,Instant Housecall,secure.instanthousecall.com,^(?:secure\.instanthousecall\.com)$
seetrol.co.kr,Seetrol,seetrol.co.kr,^(?:seetrol\.co\.kr)$
senso.cloud,Senso.cloud,*.senso.cloud,^(?:.*\.senso\.cloud)$
senso.cloud,Senso.cloud,senso.cloud,^(?:senso\.cloud)$
sentry.dev.teramind.co,Teramind,sentry.dev.teramind.co,^(?:sentry\.dev\.teramind\.co)$
serv.superopsalpha.com,SuperOps,serv.superopsalpha.com,^(?:serv\.superopsalpha\.com)$
servably.com,Syncro,servably.com,^(?:servably\.com)$
server-eye.de,ServerEye,*.server-eye.de,^(?:.*\.server-eye\.de)$
server.absolute.com,Absolute (Computrace),*.server.absolute.com,^(?:.*\.server\.absolute\.com)$
server.absolute.com,Absolute (Computrace),server.absolute.com,^(?:server\.absolute\.com)$
servicedesk.itarian.com,Itarian,servicedesk.itarian.com,^(?:servicedesk\.itarian\.com)$
services.glpi-network.com,GLPI Agent,services.glpi-network.com,^(?:services\.glpi-network\.com)$
set.me,FixMe.it,*.set.me,^(?:.*\.set\.me)$
set.me,FixMe.it,set.me,^(?:set\.me)$
setme.net,FixMe.it,*.setme.net,^(?:.*\.setme\.net)$
setme.net,FixMe.it,setme.net,^(?:setme\.net)$
shellhub.io,ShellHub,*.shellhub.io,^(?:.*\.shellhub\.io)$
shellhub.io,ShellHub,shellhub.io,^(?:shellhub\.io)$
showmypc.com,ShowMyPC,*.showmypc.com,^(?:.*\.showmypc\.com)$
showmypc.com,ShowMyPC,showmypc.com,^(?:showmypc\.com)$
signal.hoptodesk.com,HopToDesk,signal.hoptodesk.com,^(?:signal\.hoptodesk\.com)$
signal.netbird.io,NetBird,signal.netbird.io,^(?:signal\.netbird\.io)$
signalserver.xyz,Distant Desktop,*.signalserver.xyz,^(?:.*\.signalserver\.xyz)$
signalserver.xyz,Distant Desktop,signalserver.xyz,^(?:signalserver\.xyz)$
simple-help.com,SimpleHelp,simple-help.com,^(?:simple-help\.com)$
site24x7.cn,Site24x7,plus*.site24x7.cn,^(?:plus.*\.site24x7\.cn)$
site24x7.com,Site24x7,plus*.site24x7.com,^(?:plus.*\.site24x7\.com)$
site24x7.eu,Site24x7,plus*.site24x7.eu,^(?:plus.*\.site24x7\.eu)$
site24x7.in,Site24x7,plus*.site24x7.in,^(?:plus.*\.site24x7\.in)$
skyfex.com,SkyFex,skyfex.com,^(?:skyfex\.com)$
socket.lunixar.com,Lunixar,socket.lunixar.com,^(?:socket\.lunixar\.com)$
sophos.com,Sophos-Remote Management System,*.sophos.com,^(?:.*\.sophos\.com)$
sophosupd.com,Sophos-Remote Management System,*.sophosupd.com,^(?:.*\.sophosupd\.com)$
sophosupd.net,Sophos-Remote Management System,*.sophosupd.net,^(?:.*\.sophosupd\.net)$
sorillus.com,Sorillus,*.sorillus.com,^(?:.*\.sorillus\.com)$
sorillus.com,Sorillus,sorillus.com,^(?:sorillus\.com)$
soti.net,Pocket Controller (Soti Xsight),*.soti.net,^(?:.*\.soti\.net)$
soti.net,Pocket Controller (Soti Xsight),soti.net,^(?:soti\.net)$
splashtop.com,Splashtop,*.splashtop.com,^(?:.*\.splashtop\.com)$
splashtop.com,Splashtop (Beta),splashtop.com,^(?:splashtop\.com)$
splashtop.com,Splashtop Remote,splashtop.com,^(?:splashtop\.com)$
spyanywhere.com,SpyAnywhere,spyanywhere.com,^(?:spyanywhere\.com)$
spytech-web.com,SpyAnywhere,*.spytech-web.com,^(?:.*\.spytech-web\.com)$
sr.rmm.pod1.usw.gorelo.tech,Gorelo RMM,sr.rmm.pod1.usw.gorelo.tech,^(?:sr\.rmm\.pod1\.usw\.gorelo\.tech)$
staging.helpwire.app,HelpWire,staging.helpwire.app,^(?:staging\.helpwire\.app)$
startsupport.com,RemoteCall,*.startsupport.com,^(?:.*\.startsupport\.com)$
static.freshdev.io,Freshservice,static.freshdev.io,^(?:static\.freshdev\.io)$
stun.helpwire.app,HelpWire,stun.helpwire.app,^(?:stun\.helpwire\.app)$
stunserver.stunprotocol.org,HelpWire,stunserver.stunprotocol.org,^(?:stunserver\.stunprotocol\.org)$
sunlogin.oray.com,SunLogin,sunlogin.oray.com,^(?:sunlogin\.oray\.com)$
superops.ai,SuperOps,*.superops.ai,^(?:.*\.superops\.ai)$
superops.ai,SuperOps,superops.ai,^(?:superops\.ai)$
superopsalpha.com,SuperOps,*.superopsalpha.com,^(?:.*\.superopsalpha\.com)$
superopsbeta.com,SuperOps,*.superopsbeta.com,^(?:.*\.superopsbeta\.com)$
support.faronics.com,Faronics Deploy,support.faronics.com,^(?:support\.faronics\.com)$
support.faronics.com,Faronics Insight,support.faronics.com,^(?:support\.faronics\.com)$
support.services.microsoft.com,Microsoft Quick Assist,*.support.services.microsoft.com,^(?:.*\.support\.services\.microsoft\.com)$
support.services.microsoft.com,Quick Assist,*.support.services.microsoft.com,^(?:.*\.support\.services\.microsoft\.com)$
supremocontrol.com,Supremo,*.supremocontrol.com,^(?:.*\.supremocontrol\.com)$
swi-tc.com,N-Able Advanced Monitoring Agent,*.swi-tc.com,^(?:.*\.swi-tc\.com)$
syncroapi.com,Syncro,*.syncroapi.com,^(?:.*\.syncroapi\.com)$
syncromsp.com,Syncro,*.syncromsp.com,^(?:.*\.syncromsp\.com)$
syncromsp.com,Syncro,syncromsp.com,^(?:syncromsp\.com)$
syspectr.com,Syspectr,*.syspectr.com,^(?:.*\.syspectr\.com)$
syspectr.com,Syspectr,syspectr.com,^(?:syspectr\.com)$
system-monitor.com,N-Able Advanced Monitoring Agent,*.system-monitor.com,^(?:.*\.system-monitor\.com)$
system-monitor.com,N-Able Advanced Monitoring Agent,system-monitor.com,^(?:system-monitor\.com)$
systemmonitor.co.uk,N-Able Advanced Monitoring Agent,*.systemmonitor.co.uk,^(?:.*\.systemmonitor\.co\.uk)$
systemmonitor.co.uk,N-Able Advanced Monitoring Agent,systemmonitor.co.uk,^(?:systemmonitor\.co\.uk)$
systemmonitor.eu.com,N-Able Advanced Monitoring Agent,*.systemmonitor.eu.com,^(?:.*\.systemmonitor\.eu\.com)$
systemmonitor.eu.com,N-Able Advanced Monitoring Agent,systemmonitor.eu.com,^(?:systemmonitor\.eu\.com)$
systemmonitor.us,N-Able Advanced Monitoring Agent,*.systemmonitor.us,^(?:.*\.systemmonitor\.us)$
systemmonitor.us,N-Able Advanced Monitoring Agent,systemmonitor.us,^(?:systemmonitor\.us)$
systemmonitor.us.cdn.cloudflare.net,N-Able Advanced Monitoring Agent,systemmonitor.us.cdn.cloudflare.net,^(?:systemmonitor\.us\.cdn\.cloudflare\.net)$
taf.teamviewer.com,TeamViewer,taf.teamviewer.com,^(?:taf\.teamviewer\.com)$
tailscale.com,Tailscale,*.tailscale.com,^(?:.*\.tailscale\.com)$
tailscale.com,Tailscale,tailscale.com,^(?:tailscale\.com)$
tailscale.io,Tailscale,*.tailscale.io,^(?:.*\.tailscale\.io)$
teamviewer.com,TeamViewer,*.teamviewer.com,^(?:.*\.teamviewer\.com)$
techinline.net,FixMe.it,*.techinline.net,^(?:.*\.techinline\.net)$
teknopars.com,Alpemix,*.teknopars.com,^(?:.*\.teknopars\.com)$
tele-desk.com,TeleDesktop,tele-desk.com,^(?:tele-desk\.com)$
telesupportgroup.com,SimpleHelp,telesupportgroup.com,^(?:telesupportgroup\.com)$
teramind.co,Teramind,*.teramind.co,^(?:.*\.teramind\.co)$
teramind.co,Teramind,teramind.co,^(?:teramind\.co)$
tiflux.com,TiFLUX,*.tiflux.com,^(?:.*\.tiflux\.com)$
tiflux.com,TiFLUX,tiflux.com,^(?:tiflux\.com)$
tiflux.com.br,TiFLUX,tiflux.com.br,^(?:tiflux\.com\.br)$
tightvnc.com,TightVNC,tightvnc.com,^(?:tightvnc\.com)$
tmate.io,tmate,*.tmate.io,^(?:.*\.tmate\.io)$
tmate.io,tmate,tmate.io,^(?:tmate\.io)$
todesk.com,ToDesk,*.todesk.com,^(?:.*\.todesk\.com)$
todesk.com,ToDesk,todesk.com,^(?:todesk\.com)$
trust-access.invgate.com,InvGate,trust-access.invgate.com,^(?:trust-access\.invgate\.com)$
trust.invgate.com,InvGate,trust.invgate.com,^(?:trust\.invgate\.com)$
trustconnectsoftware.com,TrustConnect,trustconnectsoftware.com,^(?:trustconnectsoftware\.com)$
trusted.panorama9.com,Panorama9,trusted.panorama9.com,^(?:trusted\.panorama9\.com)$
turn.hoptodesk.com,HopToDesk,turn.hoptodesk.com,^(?:turn\.hoptodesk\.com)$
turn.monitic.com,Monitic,turn.monitic.com,^(?:turn\.monitic\.com)$
ultraviewer.net,UltraViewer,*.ultraviewer.net,^(?:.*\.ultraviewer\.net)$
ultraviewer.net,UltraViewer,ultraviewer.net,^(?:ultraviewer\.net)$
ultravnc.com,UltraVNC,ultravnc.com,^(?:ultravnc\.com)$
upd.faronicslabs.com,Faronics Core,upd.faronicslabs.com,^(?:upd\.faronicslabs\.com)$
upd.faronicslabs.com,Faronics Deep Freeze,upd.faronicslabs.com,^(?:upd\.faronicslabs\.com)$
upd.faronicslabs.com,Faronics Deploy,upd.faronicslabs.com,^(?:upd\.faronicslabs\.com)$
upload_data.qq.com,QQ IM-remote assistance,upload_data.qq.com,^(?:upload_data\.qq\.com)$
vector-networks.com,VIZOR,vector-networks.com,^(?:vector-networks\.com)$
vizor.cloud,VIZOR,vizor.cloud,^(?:vizor\.cloud)$
